STATION,ELEMENT,YEAR,MONTH,TIMEFUNCTION,MDFUNCTION,VALUE,FLAG_REPEAT,FLAG_INTERRUPTED,
0-20000-0-11723,F,1958,01,AVG,AVG,"",,,
0-20000-0-11723,F,1958,01,AVG,G(10),"",,,
0-20000-0-11723,F,1958,01,AVG,G(15),"",,,
0-20000-0-11723,F,1958,01,AVG,G(20),"",,,
0-20000-0-11723,F,1958,01,AVG,G(30),"",,,
0-20000-0-11723,F,1958,01,AVG,MAX,"",,,
0-20000-0-11723,F,1958,01,07:00,AVG,"",,,
0-20000-0-11723,F,1958,01,07:00,G(10),"",,,
0-20000-0-11723,F,1958,01,07:00,G(15),"",,,
0-20000-0-11723,F,1958,01,07:00,G(20),"",,,
0-20000-0-11723,F,1958,01,07:00,G(30),"",,,
0-20000-0-11723,F,1958,01,07:00,MAX,"",,,
0-20000-0-11723,F,1958,01,14:00,AVG,"",,,
0-20000-0-11723,F,1958,01,14:00,G(10),"",,,
0-20000-0-11723,F,1958,01,14:00,G(15),"",,,
0-20000-0-11723,F,1958,01,14:00,G(20),"",,,
0-20000-0-11723,F,1958,01,14:00,G(30),"",,,
0-20000-0-11723,F,1958,01,14:00,MAX,"",,,
0-20000-0-11723,F,1958,01,21:00,AVG,"",,,
0-20000-0-11723,F,1958,01,21:00,G(10),"",,,
0-20000-0-11723,F,1958,01,21:00,G(15),"",,,
0-20000-0-11723,F,1958,01,21:00,G(20),"",,,
0-20000-0-11723,F,1958,01,21:00,G(30),"",,,
0-20000-0-11723,F,1958,01,21:00,MAX,"",,,
0-20000-0-11723,F,1958,02,AVG,AVG,"",,,
0-20000-0-11723,F,1958,02,AVG,G(10),"",,,
0-20000-0-11723,F,1958,02,AVG,G(15),"",,,
0-20000-0-11723,F,1958,02,AVG,G(20),"",,,
0-20000-0-11723,F,1958,02,AVG,G(30),"",,,
0-20000-0-11723,F,1958,02,AVG,MAX,"",,,
0-20000-0-11723,F,1958,02,07:00,AVG,"",,,
0-20000-0-11723,F,1958,02,07:00,G(10),"",,,
0-20000-0-11723,F,1958,02,07:00,G(15),"",,,
0-20000-0-11723,F,1958,02,07:00,G(20),"",,,
0-20000-0-11723,F,1958,02,07:00,G(30),"",,,
0-20000-0-11723,F,1958,02,07:00,MAX,"",,,
0-20000-0-11723,F,1958,02,14:00,AVG,"",,,
0-20000-0-11723,F,1958,02,14:00,G(10),"",,,
0-20000-0-11723,F,1958,02,14:00,G(15),"",,,
0-20000-0-11723,F,1958,02,14:00,G(20),"",,,
0-20000-0-11723,F,1958,02,14:00,G(30),"",,,
0-20000-0-11723,F,1958,02,14:00,MAX,"",,,
0-20000-0-11723,F,1958,02,21:00,AVG,"",,,
0-20000-0-11723,F,1958,02,21:00,G(10),"",,,
0-20000-0-11723,F,1958,02,21:00,G(15),"",,,
0-20000-0-11723,F,1958,02,21:00,G(20),"",,,
0-20000-0-11723,F,1958,02,21:00,G(30),"",,,
0-20000-0-11723,F,1958,02,21:00,MAX,"",,,
0-20000-0-11723,F,1958,03,AVG,AVG,"",,,
0-20000-0-11723,F,1958,03,AVG,G(10),"",,,
0-20000-0-11723,F,1958,03,AVG,G(15),"",,,
0-20000-0-11723,F,1958,03,AVG,G(20),"",,,
0-20000-0-11723,F,1958,03,AVG,G(30),"",,,
0-20000-0-11723,F,1958,03,AVG,MAX,"",,,
0-20000-0-11723,F,1958,03,07:00,AVG,"",,,
0-20000-0-11723,F,1958,03,07:00,G(10),"",,,
0-20000-0-11723,F,1958,03,07:00,G(15),"",,,
0-20000-0-11723,F,1958,03,07:00,G(20),"",,,
0-20000-0-11723,F,1958,03,07:00,G(30),"",,,
0-20000-0-11723,F,1958,03,07:00,MAX,"",,,
0-20000-0-11723,F,1958,03,14:00,AVG,"",,,
0-20000-0-11723,F,1958,03,14:00,G(10),"",,,
0-20000-0-11723,F,1958,03,14:00,G(15),"",,,
0-20000-0-11723,F,1958,03,14:00,G(20),"",,,
0-20000-0-11723,F,1958,03,14:00,G(30),"",,,
0-20000-0-11723,F,1958,03,14:00,MAX,"",,,
0-20000-0-11723,F,1958,03,21:00,AVG,"",,,
0-20000-0-11723,F,1958,03,21:00,G(10),"",,,
0-20000-0-11723,F,1958,03,21:00,G(15),"",,,
0-20000-0-11723,F,1958,03,21:00,G(20),"",,,
0-20000-0-11723,F,1958,03,21:00,G(30),"",,,
0-20000-0-11723,F,1958,03,21:00,MAX,"",,,
0-20000-0-11723,F,1958,04,AVG,AVG,"",,,
0-20000-0-11723,F,1958,04,AVG,G(10),"",,,
0-20000-0-11723,F,1958,04,AVG,G(15),"",,,
0-20000-0-11723,F,1958,04,AVG,G(20),"",,,
0-20000-0-11723,F,1958,04,AVG,G(30),"",,,
0-20000-0-11723,F,1958,04,AVG,MAX,"",,,
0-20000-0-11723,F,1958,04,07:00,AVG,"",,,
0-20000-0-11723,F,1958,04,07:00,G(10),"",,,
0-20000-0-11723,F,1958,04,07:00,G(15),"",,,
0-20000-0-11723,F,1958,04,07:00,G(20),"",,,
0-20000-0-11723,F,1958,04,07:00,G(30),"",,,
0-20000-0-11723,F,1958,04,07:00,MAX,"",,,
0-20000-0-11723,F,1958,04,14:00,AVG,"",,,
0-20000-0-11723,F,1958,04,14:00,G(10),"",,,
0-20000-0-11723,F,1958,04,14:00,G(15),"",,,
0-20000-0-11723,F,1958,04,14:00,G(20),"",,,
0-20000-0-11723,F,1958,04,14:00,G(30),"",,,
0-20000-0-11723,F,1958,04,14:00,MAX,"",,,
0-20000-0-11723,F,1958,04,21:00,AVG,"",,,
0-20000-0-11723,F,1958,04,21:00,G(10),"",,,
0-20000-0-11723,F,1958,04,21:00,G(15),"",,,
0-20000-0-11723,F,1958,04,21:00,G(20),"",,,
0-20000-0-11723,F,1958,04,21:00,G(30),"",,,
0-20000-0-11723,F,1958,04,21:00,MAX,"",,,
0-20000-0-11723,F,1958,05,AVG,AVG,3.9,,,
0-20000-0-11723,F,1958,05,AVG,G(10),0.0,,,
0-20000-0-11723,F,1958,05,AVG,G(15),0.0,,,
0-20000-0-11723,F,1958,05,AVG,G(20),0.0,,,
0-20000-0-11723,F,1958,05,AVG,G(30),0.0,,,
0-20000-0-11723,F,1958,05,AVG,MAX,7.7,,,
0-20000-0-11723,F,1958,05,07:00,AVG,3.2,,,
0-20000-0-11723,F,1958,05,07:00,G(10),0.0,,,
0-20000-0-11723,F,1958,05,07:00,G(15),0.0,,,
0-20000-0-11723,F,1958,05,07:00,G(20),0.0,,,
0-20000-0-11723,F,1958,05,07:00,G(30),0.0,,,
0-20000-0-11723,F,1958,05,07:00,MAX,7.0,*,,
0-20000-0-11723,F,1958,05,14:00,AVG,5.6,,,
0-20000-0-11723,F,1958,05,14:00,G(10),3.0,,,
0-20000-0-11723,F,1958,05,14:00,G(15),0.0,,,
0-20000-0-11723,F,1958,05,14:00,G(20),0.0,,,
0-20000-0-11723,F,1958,05,14:00,G(30),0.0,,,
0-20000-0-11723,F,1958,05,14:00,MAX,15.0,,,
0-20000-0-11723,F,1958,05,21:00,AVG,3.0,,,
0-20000-0-11723,F,1958,05,21:00,G(10),0.0,,,
0-20000-0-11723,F,1958,05,21:00,G(15),0.0,,,
0-20000-0-11723,F,1958,05,21:00,G(20),0.0,,,
0-20000-0-11723,F,1958,05,21:00,G(30),0.0,,,
0-20000-0-11723,F,1958,05,21:00,MAX,9.0,,,
0-20000-0-11723,F,1958,06,AVG,AVG,3.3,,,
0-20000-0-11723,F,1958,06,AVG,G(10),0.0,,,
0-20000-0-11723,F,1958,06,AVG,G(15),0.0,,,
0-20000-0-11723,F,1958,06,AVG,G(20),0.0,,,
0-20000-0-11723,F,1958,06,AVG,G(30),0.0,,,
0-20000-0-11723,F,1958,06,AVG,MAX,9.3,,,
0-20000-0-11723,F,1958,06,07:00,AVG,2.8,,,
0-20000-0-11723,F,1958,06,07:00,G(10),0.0,,,
0-20000-0-11723,F,1958,06,07:00,G(15),0.0,,,
0-20000-0-11723,F,1958,06,07:00,G(20),0.0,,,
0-20000-0-11723,F,1958,06,07:00,G(30),0.0,,,
0-20000-0-11723,F,1958,06,07:00,MAX,9.0,,,
0-20000-0-11723,F,1958,06,14:00,AVG,4.4,,,
0-20000-0-11723,F,1958,06,14:00,G(10),1.0,,,
0-20000-0-11723,F,1958,06,14:00,G(15),0.0,,,
0-20000-0-11723,F,1958,06,14:00,G(20),0.0,,,
0-20000-0-11723,F,1958,06,14:00,G(30),0.0,,,
0-20000-0-11723,F,1958,06,14:00,MAX,12.0,,,
0-20000-0-11723,F,1958,06,21:00,AVG,2.7,,,
0-20000-0-11723,F,1958,06,21:00,G(10),0.0,,,
0-20000-0-11723,F,1958,06,21:00,G(15),0.0,,,
0-20000-0-11723,F,1958,06,21:00,G(20),0.0,,,
0-20000-0-11723,F,1958,06,21:00,G(30),0.0,,,
0-20000-0-11723,F,1958,06,21:00,MAX,7.0,*,,
0-20000-0-11723,F,1958,07,AVG,AVG,2.8,,,
0-20000-0-11723,F,1958,07,AVG,G(10),0.0,,,
0-20000-0-11723,F,1958,07,AVG,G(15),0.0,,,
0-20000-0-11723,F,1958,07,AVG,G(20),0.0,,,
0-20000-0-11723,F,1958,07,AVG,G(30),0.0,,,
0-20000-0-11723,F,1958,07,AVG,MAX,6.7,,,
0-20000-0-11723,F,1958,07,07:00,AVG,1.8,,,
0-20000-0-11723,F,1958,07,07:00,G(10),0.0,,,
0-20000-0-11723,F,1958,07,07:00,G(15),0.0,,,
0-20000-0-11723,F,1958,07,07:00,G(20),0.0,,,
0-20000-0-11723,F,1958,07,07:00,G(30),0.0,,,
0-20000-0-11723,F,1958,07,07:00,MAX,9.0,,,
0-20000-0-11723,F,1958,07,14:00,AVG,4.7,,,
0-20000-0-11723,F,1958,07,14:00,G(10),0.0,,,
0-20000-0-11723,F,1958,07,14:00,G(15),0.0,,,
0-20000-0-11723,F,1958,07,14:00,G(20),0.0,,,
0-20000-0-11723,F,1958,07,14:00,G(30),0.0,,,
0-20000-0-11723,F,1958,07,14:00,MAX,9.0,*,,
0-20000-0-11723,F,1958,07,21:00,AVG,1.9,,,
0-20000-0-11723,F,1958,07,21:00,G(10),0.0,,,
0-20000-0-11723,F,1958,07,21:00,G(15),0.0,,,
0-20000-0-11723,F,1958,07,21:00,G(20),0.0,,,
0-20000-0-11723,F,1958,07,21:00,G(30),0.0,,,
0-20000-0-11723,F,1958,07,21:00,MAX,4.0,*,,
0-20000-0-11723,F,1958,08,AVG,AVG,2.4,,,
0-20000-0-11723,F,1958,08,AVG,G(10),0.0,,,
0-20000-0-11723,F,1958,08,AVG,G(15),0.0,,,
0-20000-0-11723,F,1958,08,AVG,G(20),0.0,,,
0-20000-0-11723,F,1958,08,AVG,G(30),0.0,,,
0-20000-0-11723,F,1958,08,AVG,MAX,6.7,,,
0-20000-0-11723,F,1958,08,07:00,AVG,1.6,,,
0-20000-0-11723,F,1958,08,07:00,G(10),0.0,,,
0-20000-0-11723,F,1958,08,07:00,G(15),0.0,,,
0-20000-0-11723,F,1958,08,07:00,G(20),0.0,,,
0-20000-0-11723,F,1958,08,07:00,G(30),0.0,,,
0-20000-0-11723,F,1958,08,07:00,MAX,7.0,,,
0-20000-0-11723,F,1958,08,14:00,AVG,3.3,,,
0-20000-0-11723,F,1958,08,14:00,G(10),0.0,,,
0-20000-0-11723,F,1958,08,14:00,G(15),0.0,,,
0-20000-0-11723,F,1958,08,14:00,G(20),0.0,,,
0-20000-0-11723,F,1958,08,14:00,G(30),0.0,,,
0-20000-0-11723,F,1958,08,14:00,MAX,9.0,*,,
0-20000-0-11723,F,1958,08,21:00,AVG,2.3,,,
0-20000-0-11723,F,1958,08,21:00,G(10),0.0,,,
0-20000-0-11723,F,1958,08,21:00,G(15),0.0,,,
0-20000-0-11723,F,1958,08,21:00,G(20),0.0,,,
0-20000-0-11723,F,1958,08,21:00,G(30),0.0,,,
0-20000-0-11723,F,1958,08,21:00,MAX,9.0,,,
0-20000-0-11723,F,1958,09,AVG,AVG,2.5,,,
0-20000-0-11723,F,1958,09,AVG,G(10),0.0,,,
0-20000-0-11723,F,1958,09,AVG,G(15),0.0,,,
0-20000-0-11723,F,1958,09,AVG,G(20),0.0,,,
0-20000-0-11723,F,1958,09,AVG,G(30),0.0,,,
0-20000-0-11723,F,1958,09,AVG,MAX,7.3,,,
0-20000-0-11723,F,1958,09,07:00,AVG,1.3,,,
0-20000-0-11723,F,1958,09,07:00,G(10),0.0,,,
0-20000-0-11723,F,1958,09,07:00,G(15),0.0,,,
0-20000-0-11723,F,1958,09,07:00,G(20),0.0,,,
0-20000-0-11723,F,1958,09,07:00,G(30),0.0,,,
0-20000-0-11723,F,1958,09,07:00,MAX,7.0,,,
0-20000-0-11723,F,1958,09,14:00,AVG,4.3,,,
0-20000-0-11723,F,1958,09,14:00,G(10),0.0,,,
0-20000-0-11723,F,1958,09,14:00,G(15),0.0,,,
0-20000-0-11723,F,1958,09,14:00,G(20),0.0,,,
0-20000-0-11723,F,1958,09,14:00,G(30),0.0,,,
0-20000-0-11723,F,1958,09,14:00,MAX,9.0,*,,
0-20000-0-11723,F,1958,09,21:00,AVG,2.1,,,
0-20000-0-11723,F,1958,09,21:00,G(10),0.0,,,
0-20000-0-11723,F,1958,09,21:00,G(15),0.0,,,
0-20000-0-11723,F,1958,09,21:00,G(20),0.0,,,
0-20000-0-11723,F,1958,09,21:00,G(30),0.0,,,
0-20000-0-11723,F,1958,09,21:00,MAX,9.0,*,,
0-20000-0-11723,F,1958,10,AVG,AVG,2.5,,,
0-20000-0-11723,F,1958,10,AVG,G(10),0.0,,,
0-20000-0-11723,F,1958,10,AVG,G(15),0.0,,,
