STATION,ELEMENT,YEAR,MONTH,TIMEFUNCTION,MDFUNCTION,VALUE,FLAG_REPEAT,FLAG_INTERRUPTED,
0-20000-0-11723,SRA,1958,01,07:00,MAX,"",,,
0-20000-0-11723,SRA,1958,01,07:00,SUM,"",,,
0-20000-0-11723,SRA,1958,02,07:00,MAX,"",,,
0-20000-0-11723,SRA,1958,02,07:00,SUM,"",,,
0-20000-0-11723,SRA,1958,03,07:00,MAX,"",,,
0-20000-0-11723,SRA,1958,03,07:00,SUM,"",,,
0-20000-0-11723,SRA,1958,04,07:00,MAX,"",,,
0-20000-0-11723,SRA,1958,04,07:00,SUM,"",,,
0-20000-0-11723,SRA,1958,05,07:00,MAX,5.0,,,
0-20000-0-11723,SRA,1958,05,07:00,SUM,15.6,,,
0-20000-0-11723,SRA,1958,06,07:00,MAX,19.3,,,
0-20000-0-11723,SRA,1958,06,07:00,SUM,117.7,,,
0-20000-0-11723,SRA,1958,07,07:00,MAX,8.3,,,
0-20000-0-11723,SRA,1958,07,07:00,SUM,33.0,,,
0-20000-0-11723,SRA,1958,08,07:00,MAX,19.8,,,
0-20000-0-11723,SRA,1958,08,07:00,SUM,75.4,,,
0-20000-0-11723,SRA,1958,09,07:00,MAX,15.2,,,
0-20000-0-11723,SRA,1958,09,07:00,SUM,36.4,,,
0-20000-0-11723,SRA,1958,10,07:00,MAX,21.2,,,
0-20000-0-11723,SRA,1958,10,07:00,SUM,52.8,,,
0-20000-0-11723,SRA,1958,11,07:00,MAX,4.8,,,
0-20000-0-11723,SRA,1958,11,07:00,SUM,20.6,,,
0-20000-0-11723,SRA,1958,12,07:00,MAX,20.1,,,
0-20000-0-11723,SRA,1958,12,07:00,SUM,48.3,,,
0-20000-0-11723,SRA,1959,01,07:00,MAX,6.9,,,
0-20000-0-11723,SRA,1959,01,07:00,SUM,16.4,,,
0-20000-0-11723,SRA,1959,02,07:00,MAX,1.7,,,
